2022-04-01, 11:55:24, Found, person, 18, 1942,  879
2022-04-01, 11:55:24, Eingang, 787588, 18, No face visible, NA, -1
2022-04-01, 11:55:26, Eingang, 787608, 18, No face visible, NA, -1
2022-04-01, 11:55:28, Eingang, 787646, 18, No face visible, NA, -1
2022-04-01, 11:55:31, Eingang, 787696, 18, No face visible, NA, -1
2022-04-01, 11:55:32, Eingang, 787725, 18, No face visible, NA, -1
2022-04-01, 11:55:34, Eingang, 787751, 18, No face visible, NA, -1
2022-04-01, 11:55:35, Eingang, 787771, 18, No face visible, NA, -1
2022-04-01, 11:55:35, Eingang, 787772, 18, No face visible, NA, -1
2022-04-01, 11:55:36, Eingang, 787792, 18, No face visible, NA, -1
2022-04-01, 11:55:37, Eingang, 787812, 18, No face visible, NA, -1
2022-04-01, 11:55:38, Eingang, 787832, 18, No face visible, NA, -1
2022-04-01, 11:55:39, Eingang, 787852, 18, No face visible, NA, -1
2022-04-01, 11:55:40, Eingang, 787872, 18, No face visible, NA, -1
2022-04-01, 11:55:41, Eingang, 787892, 18, No face visible, NA, -1
2022-04-01, 11:55:41, Eingang, 787893, 18, No face visible, NA, -1
2022-04-01, 11:55:42, Eingang, 787913, 18, No face visible, NA, -1
2022-04-01, 11:55:43, Eingang, 787933, 18, No face visible, NA, -1
2022-04-01, 11:55:44, Eingang, 787953, 18, No face visible, NA, -1
2022-04-01, 11:55:45, Eingang, 787973, 18, No face visible, NA, -1
2022-04-01, 11:55:46, Eingang, 787993, 18, No face visible, NA, -1
2022-04-01, 11:55:47, Eingang, 788013, 18, No face visible, NA, -1
2022-04-01, 11:55:47, Eingang, 788014, 18, No face visible, NA, -1
2022-04-01, 11:55:48, Eingang, 788034, 18, No face visible, NA, -1
2022-04-01, 11:55:50, Eingang, 788054, 18, No face visible, NA, -1
2022-04-01, 11:55:51, Eingang, 788074, 18, No face visible, NA, -1
2022-04-01, 11:55:52, Eingang, 788094, 18, No face visible, NA, -1
2022-04-01, 11:55:53, Eingang, 788114, 18, No face visible, NA, -1
2022-04-01, 11:55:54, Eingang, 788134, 18, No face visible, NA, -1
2022-04-01, 11:55:54, Eingang, 788135, 18, No face visible, NA, -1
2022-04-01, 11:55:55, Eingang, 788155, 18, No face visible, NA, -1
2022-04-01, 11:55:56, Eingang, 788175, 18, No face visible, NA, -1
2022-04-01, 11:55:57, Eingang, 788195, 18, No face visible, NA, -1
2022-04-01, 11:55:58, Eingang, 788215, 18, No face visible, NA, -1
2022-04-01, 11:55:59, Eingang, 788235, 18, No face visible, NA, -1
2022-04-01, 11:56:00, Eingang, 788255, 18, No face visible, NA, -1
2022-04-01, 11:56:00, Eingang, 788256, 18, No face visible, NA, -1
2022-04-01, 11:56:01, Eingang, 788276, 18, No face visible, NA, -1
2022-04-01, 11:56:02, Eingang, 788296, 18, No face visible, NA, -1
2022-04-01, 11:56:03, Eingang, 788316, 18, No face visible, NA, -1
2022-04-01, 11:56:04, Eingang, 788336, 18, No face visible, NA, -1
2022-04-01, 11:56:05, Eingang, 788356, 18, No face visible, NA, -1
2022-04-01, 11:56:06, Eingang, 788376, 18, No face visible, NA, -1
2022-04-01, 11:56:06, Eingang, 788377, 18, No face visible, NA, -1
2022-04-01, 11:56:07, Eingang, 788397, 18, No face visible, NA, -1
2022-04-01, 11:56:08, Eingang, 788417, 18, No face visible, NA, -1
2022-04-01, 11:56:09, Eingang, 788437, 18, No face visible, NA, -1
2022-04-01, 11:56:10, Eingang, 788457, 18, No face visible, NA, -1
2022-04-01, 11:56:11, Eingang, 788477, 18, No face visible, NA, -1
2022-04-01, 11:56:12, Eingang, 788497, 18, No face visible, NA, -1
2022-04-01, 11:56:12, Eingang, 788498, 18, No face visible, NA, -1
2022-04-01, 11:56:13, Eingang, 788518, 18, No face visible, NA, -1
2022-04-01, 11:56:14, Eingang, 788538, 18, No face visible, NA, -1
2022-04-01, 11:56:15, Eingang, 788558, 18, No face visible, NA, -1
2022-04-01, 11:56:16, Eingang, 788578, 18, No face visible, NA, -1
2022-04-01, 11:56:20, Eingang, 788598, 18, No face visible, NA, -1
2022-04-01, 11:56:21, Eingang, 788618, 18, No face visible, NA, -1
2022-04-01, 11:56:21, Eingang, 788619, 18, No face visible, NA, -1
2022-04-01, 11:56:22, Eingang, 788639, 18, No face visible, NA, -1
2022-04-01, 11:56:23, Eingang, 788659, 18, No face visible, NA, -1
2022-04-01, 11:56:24, Eingang, 788679, 18, No face visible, NA, -1
2022-04-01, 11:56:25, Eingang, 788699, 18, No face visible, NA, -1
2022-04-01, 11:56:27, Eingang, 788719, 18, No face visible, NA, -1
2022-04-01, 11:56:28, Eingang, 788739, 18, No face visible, NA, -1
2022-04-01, 11:56:28, Eingang, 788740, 18, No face visible, NA, -1
2022-04-01, 11:56:29, Eingang, 788760, 18, No face visible, NA, -1
2022-04-01, 11:56:30, Eingang, 788780, 18, No face visible, NA, -1
2022-04-01, 11:56:31, Eingang, 788800, 18, No face visible, NA, -1
2022-04-01, 11:56:32, Eingang, 788820, 18, No face visible, NA, -1
2022-04-01, 11:56:33, Eingang, 788840, 18, No face visible, NA, -1
2022-04-01, 11:56:34, Eingang, 788860, 18, No face visible, NA, -1
2022-04-01, 11:56:34, Eingang, 788861, 18, No face visible, NA, -1
2022-04-01, 11:56:36, Eingang, 788881, 18, No face visible, NA, -1
2022-04-01, 11:56:36, Eingang, 788901, 18, No face visible, NA, -1
2022-04-01, 11:56:38, Eingang, 788921, 18, No face visible, NA, -1
2022-04-01, 11:56:38, Eingang, 788941, 18, No face visible, NA, -1
2022-04-01, 11:56:40, Eingang, 788961, 18, No face visible, NA, -1
2022-04-01, 11:56:41, Eingang, 788981, 18, No face visible, NA, -1
2022-04-01, 11:56:41, Eingang, 788982, 18, No face visible, NA, -1
2022-04-01, 11:56:42, Eingang, 789002, 18, No face visible, NA, -1
2022-04-01, 11:56:43, Eingang, 789022, 18, No face visible, NA, -1
2022-04-01, 11:56:44, Eingang, 789042, 18, No face visible, NA, -1
2022-04-01, 11:56:50, Lost, person, 18, 2122,  573
