2022-03-22, 12:07:44, Found, person, 156, 2265,  813
2022-03-22, 12:07:44, Eingang, 729583, 156, No face visible, NA, -1
2022-03-22, 12:07:45, Eingang, 729593, 156, No face visible, NA, -1
2022-03-22, 12:07:46, Eingang, 729603, 156, No face visible, NA, -1
2022-03-22, 12:07:47, Eingang, 729613, 156, No face visible, NA, -1
2022-03-22, 12:07:48, Eingang, 729623, 156, No face visible, NA, -1
2022-03-22, 12:07:49, Eingang, 729633, 156, No face visible, NA, -1
2022-03-22, 12:07:50, Eingang, 729643, 156, No face visible, NA, -1
2022-03-22, 12:07:50, Eingang, 729644, 156, No face visible, NA, -1
2022-03-22, 12:07:51, Eingang, 729654, 156, No face visible, NA, -1
2022-03-22, 12:07:52, Eingang, 729664, 156, No face visible, NA, -1
2022-03-22, 12:07:53, Eingang, 729674, 156, No face visible, NA, -1
2022-03-22, 12:07:54, Eingang, 729684, 156, No face visible, NA, -1
2022-03-22, 12:07:55, Eingang, 729694, 156, No face visible, NA, -1
2022-03-22, 12:07:56, Eingang, 729704, 156, No face visible, NA, -1
2022-03-22, 12:07:56, Eingang, 729705, 156, No face visible, NA, -1
2022-03-22, 12:07:57, Eingang, 729715, 156, No face visible, NA, -1
2022-03-22, 12:07:58, Eingang, 729725, 156, No face visible, NA, -1
2022-03-22, 12:07:59, Eingang, 729735, 156, No face visible, NA, -1
2022-03-22, 12:08:00, Eingang, 729745, 156, No face visible, NA, -1
2022-03-22, 12:08:01, Eingang, 729755, 156, No face visible, NA, -1
2022-03-22, 12:08:02, Eingang, 729765, 156, No face visible, NA, -1
2022-03-22, 12:08:02, Eingang, 729766, 156, No face visible, NA, -1
2022-03-22, 12:08:03, Eingang, 729776, 156, No face visible, NA, -1
2022-03-22, 12:08:04, Eingang, 729786, 156, No face visible, NA, -1
2022-03-22, 12:08:06, Eingang, 729805, 156, No face visible, NA, -1
2022-03-22, 12:08:07, Eingang, 729815, 156, No face visible, NA, -1
2022-03-22, 12:08:08, Eingang, 729825, 156, No face visible, NA, -1
2022-03-22, 12:08:09, Eingang, 729835, 156, No face visible, NA, -1
2022-03-22, 12:08:09, Eingang, 729836, 156, No face visible, NA, -1
2022-03-22, 12:08:10, Eingang, 729846, 156, No face visible, NA, -1
2022-03-22, 12:08:11, Eingang, 729856, 156, No face visible, NA, -1
2022-03-22, 12:08:12, Eingang, 729866, 156, No face visible, NA, -1
2022-03-22, 12:08:13, Eingang, 729876, 156, No face visible, NA, -1
2022-03-22, 12:08:14, Eingang, 729886, 156, No face visible, NA, -1
2022-03-22, 12:08:15, Eingang, 729896, 156, No face visible, NA, -1
2022-03-22, 12:08:15, Eingang, 729897, 156, No face visible, NA, -1
2022-03-22, 12:08:16, Eingang, 729907, 156, No face visible, NA, -1
2022-03-22, 12:08:17, Eingang, 729917, 156, No face visible, NA, -1
2022-03-22, 12:08:18, Eingang, 729927, 156, No face visible, NA, -1
2022-03-22, 12:08:19, Eingang, 729937, 156, No face visible, NA, -1
2022-03-22, 12:08:20, Eingang, 729947, 156, No face visible, NA, -1
2022-03-22, 12:08:21, Eingang, 729957, 156, No face visible, NA, -1
2022-03-22, 12:08:21, Eingang, 729958, 156, No face visible, NA, -1
2022-03-22, 12:08:22, Eingang, 729968, 156, No face visible, NA, -1
2022-03-22, 12:08:24, Eingang, 729984, 156, No face visible, NA, -1
2022-03-22, 12:08:25, Eingang, 729994, 156, No face visible, NA, -1
2022-03-22, 12:08:26, Eingang, 730004, 156, No face visible, NA, -1
2022-03-22, 12:08:27, Eingang, 730014, 156, No face visible, NA, -1
2022-03-22, 12:08:28, Eingang, 730024, 156, No face visible, NA, -1
2022-03-22, 12:08:28, Eingang, 730025, 156, No face visible, NA, -1
2022-03-22, 12:08:29, Eingang, 730035, 156, No face visible, NA, -1
2022-03-22, 12:08:30, Eingang, 730045, 156, No face visible, NA, -1
2022-03-22, 12:08:31, Eingang, 730055, 156, No face visible, NA, -1
2022-03-22, 12:08:32, Eingang, 730065, 156, No face visible, NA, -1
2022-03-22, 12:08:33, Eingang, 730075, 156, unknown, NA, [-0.02369401603937149, -0.10711953788995743, -0.033536411821842194, -0.12508514523506165, 0.10334741324186325, 0.03524819016456604, 0.011676037684082985, -0.05493446812033653, 0.006077511236071587, 0.06240762397646904, 0.060198985040187836, -0.0803762674331665, 0.027066286653280258, -0.11288968473672867, -0.0039307293482124805, 0.11591387540102005, 0.0940089002251625, -0.09498516470193863, 0.0841253250837326, -0.13902312517166138, 0.049565356224775314, 0.030398059636354446, -0.076375313103199, -0.020156731829047203, 0.02969568595290184, -0.05347417667508125, 0.1283988654613495, 0.08675454556941986, -0.04907326400279999, 0.006300732959061861, -0.04756707325577736, 0.08618892729282379, 0.03127199783921242, -0.027057798579335213, 0.14358381927013397, -0.12601608037948608, 0.05222427472472191, 0.01721550151705742, 0.12349260598421097, 0.008318852633237839, 0.07970942556858063, 0.0005589188658632338, -0.03245668485760689, -0.04537378251552582, -0.10866100341081619, -0.15377500653266907, 0.0048092384822666645, -0.013477529399096966, 0.12449649721384048, 0.07149786502122879, -0.13625040650367737, 0.0847383514046669, 0.038726113736629486, -0.09966420382261276, 0.02617201767861843, 0.03946350887417793, 0.14944930374622345, 0.03589291125535965, -0.06837322562932968, -0.24720239639282227, -0.1055121049284935, -0.08535739034414291, -0.017186427488923073, 0.23806412518024445, -0.03830370679497719, 0.13560448586940765, 0.09250088036060333, 0.0033384019043296576, 0.0562187135219574, -0.12227311730384827, -0.024853479117155075, -0.14890173077583313, 0.062462374567985535, -0.11618736386299133, -0.018578022718429565, -0.0381084680557251, 0.0005864207050763071, 0.09542615711688995, -0.07802281528711319, -0.0929456278681755, -0.16536392271518707, -0.05398132652044296, 0.037649139761924744, 0.0523567795753479, 0.11126236617565155, 0.025919413194060326, 0.10738751292228699, -0.0715770423412323, -0.18246355652809143, 0.20993877947330475, 0.08349963277578354, 0.02653362601995468, -0.008702819235622883, -0.0027645316440612078, 0.18245671689510345, 0.036171648651361465, -0.005966842640191317, -0.08340528607368469, -0.2228149026632309, -0.004441111348569393, -0.08770943433046341, 0.1574314385652542, 0.04288801923394203, -0.06763114035129547, 0.00990505050867796, 0.05493418872356415, -0.025825737044215202, 0.007017984054982662, -0.06170502305030823, -0.09315309673547745, 0.02890138514339924, 0.051993999630212784, 0.0923536866903305, 0.12685328722000122, -0.03376467153429985, 0.02434850111603737, 0.046129025518894196, 0.09208058565855026, 0.05359397828578949, -0.0012831618078052998, -0.045103590935468674, 0.013329724781215191, 0.09297720342874527, 0.028879018500447273, 0.09503782540559769, -0.13500258326530457, 0.04930698499083519, 0.04547104611992836]
